Email,Last Open Date,Revenue Generated ,,,,,,,,
buckland.hannah@buytopiamail.com,8/1/2016,"$3,940.00",,,,,,,,
russell.yvonne@buytopiamail.com,8/9/2016,$542.00,,,,,,,,
davies.jake@buytopiamail.com,7/3/2016,"$1,347.00",,,,,,,,
chapman.adam@buytopiamail.com,8/4/2016,"$1,127.00",,,,,,,,
morrison.adam@buytopiamail.com,7/21/2016,$372.00,,,,,,,,
chapman.james@buytopiamail.com,7/11/2016,"$2,447.00",,,,,,,,
ince.katherine@buytopiamail.com,8/1/2016,$402.00,,,,,,,,
rutherford.felicity@buytopiamail.com,8/5/2016,"$3,482.00",,,,,,,,
graham.cameron@buytopiamail.com,8/1/2016,$22.00,,,,,,,,
cornish.karen@buytopiamail.com,6/30/2016,$496.00,,,,,,,,
gill.lisa@buytopiamail.com,8/3/2016,$856.00,,,,,,,,
rutherford.blake@buytopiamail.com,8/5/2016,$725.00,,,,,,,,
hardacre.joe@buytopiamail.com,7/31/2016,"$2,392.00",,,,,,,,
young.robert@buytopiamail.com,8/14/2016,"$1,593.00",,,,,,,,
kelly.lillian@buytopiamail.com,7/23/2016,"$3,500.00",,,,,,,,
mcdonald.katherine@buytopiamail.com,7/28/2016,$379.00,,,,,,,,
manning.penelope@buytopiamail.com,7/30/2016,"$3,784.00",,,,,,,,
thomson.grace@buytopiamail.com,8/15/2016,$547.00,,,,,,,,
wallace.theresa@buytopiamail.com,7/23/2016,"$3,304.00",,,,,,,,
gibson.jack@buytopiamail.com,7/14/2016,"$1,339.00",,,,,,,,
hodges.molly@buytopiamail.com,7/27/2016,$4.00,,,,,,,,
burgess.ian@buytopiamail.com,7/4/2016,"$2,606.00",,,,,,,,
mcdonald.victoria@buytopiamail.com,8/15/2016,"$2,338.00",,,,,,,,
glover.chloe@buytopiamail.com,7/10/2016,"$4,066.00",,,,,,,,
gill.claire@buytopiamail.com,8/5/2016,$491.00,,,,,,,,
short.emily@buytopiamail.com,7/2/2016,"$1,569.00",,,,,,,,
burgess.tim@buytopiamail.com,8/16/2016,"$1,414.00",,,,,,,,
peake.yvonne@buytopiamail.com,7/8/2016,$72.00,,,,,,,,
dyer.madeleine@buytopiamail.com,8/6/2016,$552.00,,,,,,,,
hill.benjamin@buytopiamail.com,7/30/2016,$84.00,,,,,,,,
davies.samantha@buytopiamail.com,8/17/2016,"$2,183.00",,,,,,,,
fisher.alan@buytopiamail.com,8/4/2016,"$1,402.00",,,,,,,,
langdon.evan@buytopiamail.com,7/9/2016,"$4,981.00",,,,,,,,
paige.ruth@buytopiamail.com,7/2/2016,"$2,413.00",,,,,,,,
berry.joe@buytopiamail.com,7/28/2016,"$4,200.00",,,,,,,,
hughes.jacob@buytopiamail.com,8/5/2016,$749.00,,,,,,,,
nash.mary@buytopiamail.com,7/14/2016,"$2,367.00",,,,,,,,
bower.evan@buytopiamail.com,8/1/2016,"$2,920.00",,,,,,,,
slater.david@buytopiamail.com,8/13/2016,"$3,238.00",,,,,,,,
newman.adam@buytopiamail.com,8/15/2016,"$4,503.00",,,,,,,,
white.wanda@buytopiamail.com,6/30/2016,"$2,767.00",,,,,,,,
henderson.karen@buytopiamail.com,7/26/2016,"$4,191.00",,,,,,,,
tucker.nicola@buytopiamail.com,8/17/2016,"$4,296.00",,,,,,,,
ferguson.joan@buytopiamail.com,8/11/2016,"$4,558.00",,,,,,,,
wilkins.alan@buytopiamail.com,7/3/2016,$674.00,,,,,,,,
poole.jack@buytopiamail.com,7/13/2016,$268.00,,,,,,,,
mcgrath.kimberly@buytopiamail.com,7/13/2016,"$3,006.00",,,,,,,,
young.victoria@buytopiamail.com,7/11/2016,$611.00,,,,,,,,
buckland.luke@buytopiamail.com,8/11/2016,"$1,125.00",,,,,,,,
metcalfe.sean@buytopiamail.com,7/16/2016,"$2,878.00",,,,,,,,
avery.sue@buytopiamail.com,7/5/2016,$419.00,,,,,,,,
henderson.jacob@buytopiamail.com,7/10/2016,$300.00,,,,,,,,
terry.jan@buytopiamail.com,8/8/2016,"$1,831.00",,,,,,,,
butler.carl@buytopiamail.com,7/27/2016,"$2,744.00",,,,,,,,
manning.nicola@buytopiamail.com,7/4/2016,"$2,419.00",,,,,,,,
ross.trevor@buytopiamail.com,7/8/2016,$543.00,,,,,,,,
clark.alexandra@buytopiamail.com,6/29/2016,"$4,114.00",,,,,,,,
hart.grace@buytopiamail.com,7/7/2016,"$2,880.00",,,,,,,,
poole.nicholas@buytopiamail.com,8/13/2016,$193.00,,,,,,,,
johnston.maria@buytopiamail.com,8/6/2016,"$3,182.00",,,,,,,,
parsons.grace@buytopiamail.com,7/20/2016,"$4,098.00",,,,,,,,
ellison.felicity@buytopiamail.com,8/14/2016,"$2,037.00",,,,,,,,
kerr.benjamin@buytopiamail.com,7/24/2016,"$4,168.00",,,,,,,,
smith.andrew@buytopiamail.com,7/2/2016,"$2,037.00",,,,,,,,
springer.irene@buytopiamail.com,7/7/2016,"$4,137.00",,,,,,,,
hill.hannah@buytopiamail.com,7/19/2016,"$3,595.00",,,,,,,,
martin.yvonne@buytopiamail.com,6/30/2016,"$4,997.00",,,,,,,,
gray.alexander@buytopiamail.com,8/11/2016,"$3,844.00",,,,,,,,
sutherland.sarah@buytopiamail.com,8/13/2016,"$3,812.00",,,,,,,,
lee.audrey@buytopiamail.com,7/14/2016,"$3,235.00",,,,,,,,
burgess.rebecca@buytopiamail.com,8/9/2016,$44.00,,,,,,,,
sutherland.tracey@buytopiamail.com,7/24/2016,"$2,168.00",,,,,,,,
rees.luke@buytopiamail.com,7/6/2016,"$3,598.00",,,,,,,,
powell.steven@buytopiamail.com,7/14/2016,$222.00,,,,,,,,
lee.joan@buytopiamail.com,8/5/2016,"$3,941.00",,,,,,,,
morgan.molly@buytopiamail.com,7/27/2016,"$3,068.00",,,,,,,,
fisher.emily@buytopiamail.com,7/12/2016,"$3,657.00",,,,,,,,
reid.victoria@buytopiamail.com,7/23/2016,$411.00,,,,,,,,
chapman.brandon@buytopiamail.com,7/14/2016,"$3,414.00",,,,,,,,
reid.isaac@buytopiamail.com,7/23/2016,"$4,413.00",,,,,,,,
hodges.virginia@buytopiamail.com,7/2/2016,"$2,025.00",,,,,,,,
lawrence.katherine@buytopiamail.com,7/10/2016,$847.00,,,,,,,,
jackson.lily@buytopiamail.com,7/14/2016,$380.00,,,,,,,,
churchill.keith@buytopiamail.com,7/18/2016,"$2,831.00",,,,,,,,
watson.molly@buytopiamail.com,7/23/2016,"$4,055.00",,,,,,,,
johnston.gabrielle@buytopiamail.com,8/13/2016,$474.00,,,,,,,,
jones.john@buytopiamail.com,8/11/2016,"$2,668.00",,,,,,,,
ogden.jason@buytopiamail.com,6/29/2016,"$3,851.00",,,,,,,,
greene.faith@buytopiamail.com,7/2/2016,"$3,335.00",,,,,,,,
ellison.william@buytopiamail.com,8/1/2016,"$4,069.00",,,,,,,,
turner.vanessa@buytopiamail.com,8/16/2016,"$1,854.00",,,,,,,,
pullman.lucas@buytopiamail.com,8/17/2016,"$4,623.00",,,,,,,,
bond.lily@buytopiamail.com,7/29/2016,"$1,631.00",,,,,,,,
pullman.james@buytopiamail.com,7/5/2016,"$2,122.00",,,,,,,,
blake.isaac@buytopiamail.com,8/16/2016,"$1,382.00",,,,,,,,
clarkson.maria@buytopiamail.com,7/8/2016,$811.00,,,,,,,,
lyman.lillian@buytopiamail.com,6/30/2016,$97.00,,,,,,,,
dyer.chloe@buytopiamail.com,6/30/2016,"$3,735.00",,,,,,,,
anderson.simon@buytopiamail.com,8/15/2016,"$4,689.00",,,,,,,,
ball.chloe@buytopiamail.com,7/6/2016,$358.00,,,,,,,,
oliver.joshua@buytopiamail.com,7/19/2016,"$3,844.00",,,,,,,,
clarkson.edward@buytopiamail.com,8/7/2016,$121.00,,,,,,,,
davidson.bernadette@buytopiamail.com,8/4/2016,"$3,500.00",,,,,,,,
young.jack@buytopiamail.com,8/1/2016,"$3,196.00",,,,,,,,
hughes.phil@buytopiamail.com,7/10/2016,"$4,949.00",,,,,,,,
anderson.sophie@buytopiamail.com,8/5/2016,"$1,193.00",,,,,,,,
edmunds.joanne@buytopiamail.com,7/10/2016,"$2,522.00",,,,,,,,
murray.emma@buytopiamail.com,7/18/2016,"$2,568.00",,,,,,,,
young.zoe@buytopiamail.com,7/24/2016,"$3,460.00",,,,,,,,
harris.madeleine@buytopiamail.com,8/18/2016,$738.00,,,,,,,,
anderson.jennifer@buytopiamail.com,7/11/2016,"$4,619.00",,,,,,,,
gray.penelope@buytopiamail.com,7/8/2016,"$3,361.00",,,,,,,,
may.nicola@buytopiamail.com,7/16/2016,"$2,610.00",,,,,,,,
burgess.adam@buytopiamail.com,8/10/2016,"$2,627.00",,,,,,,,
white.william@buytopiamail.com,8/12/2016,"$4,596.00",,,,,,,,
coleman.diane@buytopiamail.com,7/12/2016,"$1,719.00",,,,,,,,
fisher.alison@buytopiamail.com,7/21/2016,"$2,216.00",,,,,,,,
lambert.caroline@buytopiamail.com,8/4/2016,"$4,517.00",,,,,,,,
may.stephanie@buytopiamail.com,8/10/2016,"$4,603.00",,,,,,,,
gray.joshua@buytopiamail.com,8/9/2016,$330.00,,,,,,,,
butler.katherine@buytopiamail.com,7/22/2016,"$1,466.00",,,,,,,,
hughes.katherine@buytopiamail.com,8/8/2016,"$2,865.00",,,,,,,,
butler.christian@buytopiamail.com,8/5/2016,"$2,540.00",,,,,,,,
ellison.tracey@buytopiamail.com,8/18/2016,"$3,078.00",,,,,,,,
underwood.megan@buytopiamail.com,7/11/2016,$730.00,,,,,,,,
walker.faith@buytopiamail.com,7/20/2016,"$4,397.00",,,,,,,,
walsh.gavin@buytopiamail.com,7/11/2016,"$2,301.00",,,,,,,,
peake.ava@buytopiamail.com,7/11/2016,"$1,943.00",,,,,,,,
greene.andrea@buytopiamail.com,7/4/2016,"$1,633.00",,,,,,,,
miller.matt@buytopiamail.com,7/30/2016,$179.00,,,,,,,,
manning.anthony@buytopiamail.com,7/24/2016,"$4,088.00",,,,,,,,
mills.jake@buytopiamail.com,7/7/2016,"$2,705.00",,,,,,,,
gray.jennifer@buytopiamail.com,8/7/2016,$922.00,,,,,,,,
ross.julia@buytopiamail.com,8/6/2016,"$2,358.00",,,,,,,,
brown.rose@buytopiamail.com,8/6/2016,"$4,792.00",,,,,,,,
edmunds.sophie@buytopiamail.com,7/29/2016,"$4,262.00",,,,,,,,
turner.jason@buytopiamail.com,7/7/2016,$977.00,,,,,,,,
taylor.gordon@buytopiamail.com,7/28/2016,"$1,771.00",,,,,,,,
lewis.diane@buytopiamail.com,8/17/2016,"$3,220.00",,,,,,,,
russell.nicholas@buytopiamail.com,7/21/2016,"$1,605.00",,,,,,,,
ball.yvonne@buytopiamail.com,8/1/2016,"$3,766.00",,,,,,,,
clarkson.oliver@buytopiamail.com,8/9/2016,"$4,165.00",,,,,,,,
bower.irene@buytopiamail.com,7/1/2016,$866.00,,,,,,,,
cameron.jason@buytopiamail.com,8/16/2016,"$2,658.00",,,,,,,,
robertson.lisa@buytopiamail.com,8/16/2016,"$2,128.00",,,,,,,,
hamilton.amy@buytopiamail.com,7/22/2016,"$2,039.00",,,,,,,,
fisher.john@buytopiamail.com,7/31/2016,"$4,775.00",,,,,,,,
oliver.peter@buytopiamail.com,8/12/2016,"$1,029.00",,,,,,,,
nolan.frank@buytopiamail.com,7/22/2016,"$1,927.00",,,,,,,,
tucker.alexander@buytopiamail.com,7/31/2016,$900.00,,,,,,,,
piper.gabrielle@buytopiamail.com,8/6/2016,"$1,942.00",,,,,,,,
paige.molly@buytopiamail.com,8/12/2016,$328.00,,,,,,,,
hudson.max@buytopiamail.com,7/16/2016,"$2,110.00",,,,,,,,
hardacre.vanessa@buytopiamail.com,7/26/2016,"$4,364.00",,,,,,,,
mackay.charles@buytopiamail.com,7/3/2016,"$4,439.00",,,,,,,,
reid.gordon@buytopiamail.com,7/15/2016,"$1,387.00",,,,,,,,
smith.luke@buytopiamail.com,7/18/2016,"$2,058.00",,,,,,,,
turner.carl@buytopiamail.com,8/9/2016,"$2,809.00",,,,,,,,
wallace.charles@buytopiamail.com,7/2/2016,"$4,620.00",,,,,,,,
murray.nathan@buytopiamail.com,6/29/2016,"$2,748.00",,,,,,,,
duncan.joshua@buytopiamail.com,8/1/2016,"$1,410.00",,,,,,,,
ellison.james@buytopiamail.com,8/6/2016,"$3,104.00",,,,,,,,
vance.sebastian@buytopiamail.com,6/30/2016,$759.00,,,,,,,,
welch.jasmine@buytopiamail.com,8/9/2016,$941.00,,,,,,,,
harris.joe@buytopiamail.com,8/5/2016,"$3,551.00",,,,,,,,
ross.robert@buytopiamail.com,7/7/2016,"$4,793.00",,,,,,,,
lee.dylan@buytopiamail.com,8/1/2016,"$1,156.00",,,,,,,,
robertson.kevin@buytopiamail.com,8/4/2016,"$1,178.00",,,,,,,,
johnston.jane@buytopiamail.com,7/29/2016,"$3,943.00",,,,,,,,
roberts.alison@buytopiamail.com,7/6/2016,"$4,134.00",,,,,,,,
mills.nicola@buytopiamail.com,7/14/2016,$143.00,,,,,,,,
smith.neil@buytopiamail.com,7/9/2016,"$2,802.00",,,,,,,,
alsop.jonathan@buytopiamail.com,6/30/2016,$116.00,,,,,,,,
fraser.emma@buytopiamail.com,7/23/2016,"$3,293.00",,,,,,,,
duncan.joe@buytopiamail.com,7/17/2016,"$3,900.00",,,,,,,,
lambert.virginia@buytopiamail.com,8/15/2016,"$2,673.00",,,,,,,,
carr.evan@buytopiamail.com,7/25/2016,"$1,079.00",,,,,,,,
martin.dylan@buytopiamail.com,8/1/2016,"$1,207.00",,,,,,,,
miller.amy@buytopiamail.com,7/28/2016,"$4,263.00",,,,,,,,
hart.yvonne@buytopiamail.com,7/7/2016,"$1,694.00",,,,,,,,
peake.sue@buytopiamail.com,7/28/2016,"$4,778.00",,,,,,,,
peake.andrea@buytopiamail.com,8/6/2016,"$3,584.00",,,,,,,,
randall.joe@buytopiamail.com,8/12/2016,"$2,848.00",,,,,,,,
white.emily@buytopiamail.com,8/4/2016,$316.00,,,,,,,,
clark.irene@buytopiamail.com,7/6/2016,"$3,023.00",,,,,,,,
martin.paul@buytopiamail.com,7/29/2016,$169.00,,,,,,,,
james.stephanie@buytopiamail.com,7/17/2016,"$1,434.00",,,,,,,,
avery.sam@buytopiamail.com,7/19/2016,$422.00,,,,,,,,
lyman.pippa@buytopiamail.com,7/11/2016,"$3,670.00",,,,,,,,
morrison.amelia@buytopiamail.com,7/20/2016,"$2,533.00",,,,,,,,
tucker.gabrielle@buytopiamail.com,7/28/2016,"$4,914.00",,,,,,,,
churchill.max@buytopiamail.com,7/2/2016,"$4,742.00",,,,,,,,
hamilton.molly@buytopiamail.com,7/4/2016,"$4,646.00",,,,,,,,
ogden.diane@buytopiamail.com,7/16/2016,"$1,730.00",,,,,,,,
martin.christopher@buytopiamail.com,7/1/2016,"$2,756.00",,,,,,,,
sutherland.anthony@buytopiamail.com,7/12/2016,"$4,797.00",,,,,,,,
harris.robert@buytopiamail.com,8/16/2016,"$1,717.00",,,,,,,,
campbell.evan@buytopiamail.com,8/11/2016,"$1,692.00",,,,,,,,
churchill.audrey@buytopiamail.com,8/3/2016,"$1,676.00",,,,,,,,
taylor.thomas@buytopiamail.com,7/30/2016,"$1,152.00",,,,,,,,
allan.jack@buytopiamail.com,8/16/2016,"$4,809.00",,,,,,,,
clarkson.jacob@buytopiamail.com,7/15/2016,"$4,042.00",,,,,,,,
taylor.sophie@buytopiamail.com,8/10/2016,"$4,399.00",,,,,,,,
macleod.ava@buytopiamail.com,8/3/2016,"$2,503.00",,,,,,,,
lewis.rebecca@buytopiamail.com,8/3/2016,"$3,437.00",,,,,,,,
mcgrath.karen@buytopiamail.com,7/24/2016,$611.00,,,,,,,,
dyer.brandon@buytopiamail.com,6/29/2016,"$1,744.00",,,,,,,,
mackay.joanne@buytopiamail.com,8/6/2016,"$4,355.00",,,,,,,,
quinn.liam@buytopiamail.com,7/2/2016,"$2,932.00",,,,,,,,
forsyth.dylan@buytopiamail.com,7/20/2016,"$4,893.00",,,,,,,,
hardacre.nathan@buytopiamail.com,7/3/2016,"$1,569.00",,,,,,,,
underwood.nicholas@buytopiamail.com,8/14/2016,"$3,797.00",,,,,,,,
bailey.ryan@buytopiamail.com,7/19/2016,"$4,538.00",,,,,,,,
skinner.felicity@buytopiamail.com,8/2/2016,"$2,756.00",,,,,,,,
manning.max@buytopiamail.com,7/3/2016,$32.00,,,,,,,,
johnston.nicola@buytopiamail.com,8/13/2016,"$2,363.00",,,,,,,,
miller.joshua@buytopiamail.com,8/8/2016,$944.00,,,,,,,,
lewis.maria@buytopiamail.com,8/14/2016,"$1,807.00",,,,,,,,
coleman.chloe@buytopiamail.com,8/10/2016,"$4,874.00",,,,,,,,
reid.charles@buytopiamail.com,7/20/2016,"$1,268.00",,,,,,,,
kelly.colin@buytopiamail.com,7/15/2016,"$1,203.00",,,,,,,,
alsop.angela@buytopiamail.com,8/18/2016,"$3,307.00",,,,,,,,
parr.fiona@buytopiamail.com,7/20/2016,"$1,165.00",,,,,,,,
manning.grace@buytopiamail.com,8/12/2016,"$2,743.00",,,,,,,,
paterson.dorothy@buytopiamail.com,7/21/2016,"$3,906.00",,,,,,,,
grant.lily@buytopiamail.com,7/10/2016,$381.00,,,,,,,,
pullman.benjamin@buytopiamail.com,7/7/2016,$92.00,,,,,,,,
baker.brian@buytopiamail.com,7/19/2016,"$3,352.00",,,,,,,,
turner.nathan@buytopiamail.com,7/16/2016,"$3,641.00",,,,,,,,
sanderson.ava@buytopiamail.com,8/1/2016,$422.00,,,,,,,,
wilkins.peter@buytopiamail.com,7/9/2016,$388.00,,,,,,,,
quinn.diana@buytopiamail.com,8/2/2016,$381.00,,,,,,,,
robertson.blake@buytopiamail.com,7/20/2016,"$1,817.00",,,,,,,,
martin.carl@buytopiamail.com,7/6/2016,"$4,836.00",,,,,,,,
piper.matt@buytopiamail.com,8/9/2016,"$1,132.00",,,,,,,,
macdonald.sophie@buytopiamail.com,7/12/2016,"$2,462.00",,,,,,,,
bailey.abigail@buytopiamail.com,7/24/2016,"$4,303.00",,,,,,,,
bell.jack@buytopiamail.com,8/17/2016,"$4,669.00",,,,,,,,
white.sarah@buytopiamail.com,8/18/2016,"$1,820.00",,,,,,,,
macdonald.jessica@buytopiamail.com,8/4/2016,"$4,101.00",,,,,,,,
paige.bernadette@buytopiamail.com,7/28/2016,"$1,985.00",,,,,,,,
wallace.mary@buytopiamail.com,7/18/2016,"$1,385.00",,,,,,,,
sanderson.eric@buytopiamail.com,8/4/2016,"$1,579.00",,,,,,,,
butler.ryan@buytopiamail.com,7/30/2016,"$4,643.00",,,,,,,,
fisher.jan@buytopiamail.com,7/5/2016,"$3,175.00",,,,,,,,
glover.trevor@buytopiamail.com,7/20/2016,"$4,122.00",,,,,,,,
stewart.grace@buytopiamail.com,8/10/2016,"$4,697.00",,,,,,,,
ferguson.david@buytopiamail.com,7/19/2016,"$2,661.00",,,,,,,,
powell.penelope@buytopiamail.com,7/28/2016,"$1,860.00",,,,,,,,
newman.brandon@buytopiamail.com,7/7/2016,"$4,980.00",,,,,,,,
chapman.charles@buytopiamail.com,7/23/2016,"$4,264.00",,,,,,,,
parsons.dan@buytopiamail.com,7/3/2016,$883.00,,,,,,,,
fraser.donna@buytopiamail.com,7/10/2016,"$4,873.00",,,,,,,,
bond.gabrielle@buytopiamail.com,7/10/2016,"$4,072.00",,,,,,,,
bower.madeleine@buytopiamail.com,7/10/2016,"$2,369.00",,,,,,,,
wallace.christian@buytopiamail.com,8/16/2016,$619.00,,,,,,,,
kelly.warren@buytopiamail.com,7/28/2016,"$1,804.00",,,,,,,,
newman.anne@buytopiamail.com,7/20/2016,$450.00,,,,,,,,
skinner.jessica@buytopiamail.com,7/11/2016,$581.00,,,,,,,,
duncan.jonathan@buytopiamail.com,8/3/2016,$262.00,,,,,,,,
north.emma@buytopiamail.com,7/6/2016,"$1,739.00",,,,,,,,
rees.emma@buytopiamail.com,8/10/2016,"$4,981.00",,,,,,,,
russell.nathan@buytopiamail.com,7/8/2016,$886.00,,,,,,,,
metcalfe.sophie@buytopiamail.com,7/31/2016,"$2,384.00",,,,,,,,
sharp.dan@buytopiamail.com,7/10/2016,"$4,318.00",,,,,,,,
hemmings.sam@buytopiamail.com,7/18/2016,"$1,729.00",,,,,,,,
johnston.amelia@buytopiamail.com,8/6/2016,"$3,575.00",,,,,,,,
ferguson.ella@buytopiamail.com,7/5/2016,$331.00,,,,,,,,
parr.nicholas@buytopiamail.com,7/20/2016,$963.00,,,,,,,,
oliver.dylan@buytopiamail.com,8/9/2016,"$1,971.00",,,,,,,,
rutherford.matt@buytopiamail.com,7/10/2016,$541.00,,,,,,,,
sharp.adam@buytopiamail.com,8/6/2016,"$4,005.00",,,,,,,,
hamilton.amelia@buytopiamail.com,7/2/2016,"$4,064.00",,,,,,,,
carr.grace@buytopiamail.com,7/17/2016,"$1,134.00",,,,,,,,
jones.melanie@buytopiamail.com,7/4/2016,"$1,681.00",,,,,,,,
piper.stewart@buytopiamail.com,7/12/2016,"$1,977.00",,,,,,,,
oliver.zoe@buytopiamail.com,7/11/2016,$165.00,,,,,,,,
churchill.madeleine@buytopiamail.com,7/23/2016,"$2,987.00",,,,,,,,
watson.max@buytopiamail.com,7/25/2016,$982.00,,,,,,,,
springer.nathan@buytopiamail.com,7/6/2016,"$4,442.00",,,,,,,,
king.jennifer@buytopiamail.com,8/10/2016,"$1,072.00",,,,,,,,
langdon.michelle@buytopiamail.com,7/24/2016,"$2,437.00",,,,,,,,
gray.joanne@buytopiamail.com,8/9/2016,"$4,010.00",,,,,,,,
nolan.leah@buytopiamail.com,8/15/2016,"$2,945.00",,,,,,,,
watson.richard@buytopiamail.com,8/12/2016,"$2,189.00",,,,,,,,
may.alison@buytopiamail.com,7/30/2016,$466.00,,,,,,,,
mcdonald.maria@buytopiamail.com,7/16/2016,"$3,517.00",,,,,,,,
manning.matt@buytopiamail.com,8/12/2016,"$3,341.00",,,,,,,,
may.bella@buytopiamail.com,7/2/2016,"$3,428.00",,,,,,,,
sutherland.christopher@buytopiamail.com,8/13/2016,"$4,800.00",,,,,,,,
morrison.austin@buytopiamail.com,7/3/2016,"$2,769.00",,,,,,,,
thomson.brian@buytopiamail.com,7/16/2016,"$4,341.00",,,,,,,,
knox.yvonne@buytopiamail.com,8/5/2016,"$1,248.00",,,,,,,,
hill.jasmine@buytopiamail.com,8/3/2016,$67.00,,,,,,,,
brown.lucas@buytopiamail.com,7/11/2016,"$3,182.00",,,,,,,,
davidson.colin@buytopiamail.com,8/13/2016,"$3,896.00",,,,,,,,
sanderson.amy@buytopiamail.com,7/26/2016,"$3,835.00",,,,,,,,
bower.gavin@buytopiamail.com,8/8/2016,"$4,699.00",,,,,,,,
metcalfe.edward@buytopiamail.com,7/26/2016,$685.00,,,,,,,,
ferguson.sarah@buytopiamail.com,7/2/2016,"$4,931.00",,,,,,,,
wilson.joe@buytopiamail.com,7/3/2016,"$3,441.00",,,,,,,,
hodges.alison@buytopiamail.com,8/1/2016,"$1,816.00",,,,,,,,
turner.charles@buytopiamail.com,7/17/2016,$815.00,,,,,,,,
terry.sebastian@buytopiamail.com,7/18/2016,"$2,235.00",,,,,,,,
brown.andrea@buytopiamail.com,7/16/2016,$387.00,,,,,,,,
smith.hannah@buytopiamail.com,7/28/2016,"$3,865.00",,,,,,,,
wilkins.dylan@buytopiamail.com,8/3/2016,"$2,955.00",,,,,,,,
skinner.mary@buytopiamail.com,7/15/2016,"$3,612.00",,,,,,,,
slater.trevor@buytopiamail.com,8/5/2016,$145.00,,,,,,,,
cameron.maria@buytopiamail.com,7/8/2016,$742.00,,,,,,,,
mitchell.simon@buytopiamail.com,7/28/2016,"$2,207.00",,,,,,,,
roberts.justin@buytopiamail.com,7/2/2016,$124.00,,,,,,,,
macleod.jacob@buytopiamail.com,8/17/2016,"$1,504.00",,,,,,,,
hunter.benjamin@buytopiamail.com,7/15/2016,"$4,370.00",,,,,,,,
paterson.vanessa@buytopiamail.com,8/11/2016,$299.00,,,,,,,,
powell.wendy@buytopiamail.com,8/9/2016,"$4,103.00",,,,,,,,
grant.audrey@buytopiamail.com,7/22/2016,"$1,732.00",,,,,,,,
knox.dylan@buytopiamail.com,7/16/2016,"$2,068.00",,,,,,,,
oliver.sally@buytopiamail.com,8/14/2016,"$3,607.00",,,,,,,,
oliver.irene@buytopiamail.com,7/24/2016,"$2,169.00",,,,,,,,
simpson.elizabeth@buytopiamail.com,8/16/2016,$680.00,,,,,,,,
wilkins.carolyn@buytopiamail.com,8/17/2016,"$2,304.00",,,,,,,,
carr.gabrielle@buytopiamail.com,7/20/2016,"$1,296.00",,,,,,,,
henderson.zoe@buytopiamail.com,8/6/2016,$127.00,,,,,,,,
anderson.irene@buytopiamail.com,7/3/2016,"$4,822.00",,,,,,,,
vaughan.phil@buytopiamail.com,8/13/2016,"$3,206.00",,,,,,,,
taylor.austin@buytopiamail.com,7/5/2016,"$1,752.00",,,,,,,,
lewis.benjamin@buytopiamail.com,8/12/2016,"$4,558.00",,,,,,,,
baker.bella@buytopiamail.com,7/26/2016,$112.00,,,,,,,,
howard.sam@buytopiamail.com,8/6/2016,"$1,872.00",,,,,,,,
terry.lauren@buytopiamail.com,8/4/2016,"$4,677.00",,,,,,,,
avery.connor@buytopiamail.com,7/10/2016,"$4,424.00",,,,,,,,
paterson.fiona@buytopiamail.com,7/15/2016,"$1,632.00",,,,,,,,
ince.alan@buytopiamail.com,8/15/2016,"$1,533.00",,,,,,,,
thomson.emily@buytopiamail.com,7/21/2016,$839.00,,,,,,,,
